CODICE,CODICE_SIF,PROVINCIA,CODICE_FOG,CODICE_SSG,COMUNE,DATA_INIZIO,DATA_FINE,X,Y,lat,lon,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,INFO,ORIGINE,z_PTUA2003,z_CAP,z_Idroscalo2005,z_OLONA,z_Milano1950,FALDA
PO108033NR0142,1080330142,MB,,,MONZA,2016-02-01 00:00:00,2021-04-01,522621.0,5051383.0,45.615623483482466,9.290136587843273,178.79,178.79,42.0,1,10.5,31.5,IRRIGUO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO1080350U0024,,MB,,,NOVA MILANESE,2000-01-01 00:00:00,2021-03-01,514972.0,5048824.0,45.592797162451646,9.191952763436623,174.02,176.6,85.0,2,50,79,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO1080210U0002,1080210002,MB,,,CONCOREZZO,2006-03-01 00:00:00,2020-12-01,525376.0,5047357.0,45.57929091184946,9.325262200691903,162.45,162.45,56.0,1,32,47,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0152060U0004,0152060004,MI,,,SENAGO,1999-01-01 00:00:00,2018-12-01,510294.0,5047238.0,45.57860664614248,9.1319438897114,169.78,169.78,104.0,2,41.29,64.11,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-v. Adda",PTUA2022-PTUA2003,169.78,,,,,2.0
PO015041NR0075,,MI,,,BUSTO GAROLFO,2014-05-01 00:00:00,2021-02-01,491337.0,5042014.0,45.531607490202425,8.889054061307203,171.64,172.01,30.0,1,15,30,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022,,,,,,
PO015051NR0012,0150510012,MI,,,CARUGATE,2016-02-01 00:00:00,2021-01-01,526092.0,5045211.0,45.55994854161797,9.334324909887304,153.0,153.0,40.0,2,22,37,INDUSTRIALE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022,,,,,,
PO015060NU0070,0150600070,MI,,,CASSINA DE' PECCHI,2014-05-01 00:00:00,2021-04-01,528555.0,5041375.0,45.525324428280804,9.3656595767229,134.13,134.13,43.0,n.d.,n.d.,n.d.,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO015062NR0071,,MI,,,CASTANO PRIMO,2014-05-01 00:00:00,2021-04-01,479252.0,5043806.0,45.54748207756073,8.73420820654395,170.69,170.64,35.0,1,20,35,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0151080U0002,0151080002,MI,,,GORGONZOLA,1996-01-01 00:00:00,2018-06-01,532049.0,5042247.0,45.53302119623268,9.410457803668589,134.37,134.37,90.0,1,33.05,46.6,POTABILE,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-v. Manzoni",PTUA2022-PTUA2003,121.42,,,,,
PO015194NU0017,,MI,,,SAN GIORGIO SU LEGNANO,2014-05-01 00:00:00,2021-04-01,492931.0,5045894.0,45.56654955411028,8.90941210511973,191.6,191.65,50.0,1,28,50,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO0152490U0002,0152490004,MI,,,VANZAGHELLO,1999-01-01 00:00:00,2018-12-01,482332.0,5046719.0,45.57378689030802,8.773558840213552,191.913,191.913,60.0,1,54,58,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,"fino al 2018 misure manuali; successiva transizione a misure con sonde automatiche, i cui dati non sono stati inseriti in quanto non validi-C.La Fogna",PTUA2022-PTUA2003,191.5,,,,,
PO108033NU0243,,MB,,,MONZA,2014-03-01 00:00:00,2021-01-01,520727.0,5045937.0,45.566663724453065,9.265613128977531,163.584,163.584,50.0,1,22.5,49.5,MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,SI,,PTUA2022,,,,,,
PO1080520U0016,,MB,,,CAPONAGO,2016-02-01 00:00:00,2021-03-01,528637.8837,5045729.304,45.56451359285678,9.366975836497913,155.237,157.507,42.0,1,40.5,42,POTABILE,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO015019NR0001,0150190001,MI,,,BERNATE TICINO,1996-01-01 00:00:00,2020-12-01,486506.0,5037842.0,45.493978163383666,8.827299185110007,151.01,151.13,63.5,1,40,54.25,ALTRO MONITORAGGIO,POZZO,GWB ISS APTA,IT03GWBISSAPTA,,v.Pellico-Casate,PTUA2022-PTUA2003,139.53,,,,,1.0
PO015113NUP001,,MI,,,INVERUNO,2016-02-01 00:00:00,2021-04-01,489297.5977,5039466.985,45.508653256856476,8.862991416958833,158.606,158.826,25.0,1,9,25,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,,PTUA2022,,,,,,
PO015146NU1313,0151461313,MI,FOG43,,MILANO,1952-04-01 00:00:00,2020-12-01,519751.0,5037935.0,45.49466612435916,9.25278311987484,118.845,118.845,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,PARCO LAMBRO V.LE VAN GOGH 10 (MAGAZZINO PIANTAGIONI),PTUA2022-Idroscalo2005-FOG,,,119.3,,119.3,
PO015146NU1534,0151461534,MI,FOG4,,MILANO,1959-01-01 00:00:00,2020-12-01,510123.0,5040197.0,45.51523284574417,9.129606368874434,138.95,138.83,24.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,VIA CARBONIA - MARCIAPIEDE DI FRONTE AL N. 5,PTUA2022-FOG,,,,,138.8,
PO015146NU1536,0151461536,MI,FOG28,,MILANO,1952-01-01 00:00:00,2020-07-01,511864.0,5036686.0,45.48360250118908,9.151811643170053,125.2,125.2,19.0,n.d.,n.d.,n.d.,ALTRO MONITORAGGIO,PIEZOMETRO,GWB ISS APTA,IT03GWBISSAPTA,,VIA GATTAMELATA 35,PTUA2022-FOG,,,,,125.5,
