CODICE,x,y,z,COMUNE,INFO,PROVINCIA,SETTORE,STRAT.,FALDA,ORIGINE
0151760002,1499485.0,5042120.0,162.5,POGLIANO MILANESE,Garibaldi,,,,,PTUA2003
0151790040,1499516.0,5042096.0,143.48,PREGNANA MILANESE,via Gallarate,,,,,PTUA2003
0151790005,1499516.0,5042096.0,140.68,PREGNANA MILANESE,via Gallarate,,,,,PTUA2003
0151810001,1496200.0,5051450.0,180.25,RESCALDINA,via Melzi-Comune I,MI - Par.,6.0,X,1,PTUA2003
0151820106,1503760.0,5039860.0,138.59,RHO,Alumix spa via S.Martino,MI - Par.,11.0,,1,PTUA2003
0151830028,1482745.0,5041027.0,144.3,ROBECCHETTO CON INDUNO,via Don Pozzi,,,,,PTUA2003
0151840023,1488730.0,5030170.0,107.78,ROBECCO SUL NAVIGLIO,C.na Visconta,,,,,PTUA2003
0151850001,1528061.0,5035495.0,103.16,RODANO,via S.Pellico,,,,,PTUA2003
0151850004,1528135.0,5035520.0,110.5,RODANO,via S.Pellico,MI - Città,17.0,X,3,PTUA2003
0151860001,1535790.0,5049790.0,158.39,RONCELLO,S.Ambrogio-serb.,MI - MONZA,9.0,X,2,PTUA2003
0151870001,1531348.0,5057132.0,210.11,RONCO BRIANTINO,via Mandelli-serb.,,,,,PTUA2003
0151880001,1501271.0,5021782.0,105.59,ROSATE,p.za Vitt.Veneto,,,,,PTUA2003
0151890001,1511429.0,5024772.0,103.4,ROZZANO,via Matteotti,,,,,PTUA2003
0980500005,1532041.0,5007048.0,68.25,SANT'ANGELO LODIGIANO,fraz.Ranera,LO,23.0,X,1,PTUA2003
0151910009,1539965.0,5001295.0,55.45,SAN COLOMBANO AL LAMBRO,Mostiola,,,,,PTUA2003
0181390002,1531095.0,5000710.0,70.0,SANTA CRISTINA E BISSONE,via Milano,,,,,PTUA2003
0151920005,1520822.0,5030727.0,103.19,SAN DONATO,v.A.Moro,,,,,PTUA2003
0151950007,1519358.0,5026813.0,95.41,SAN GIULIANO,Maroncelli,,,,,PTUA2003
0151950012,1520795.0,5027435.0,99.0,SAN GIULIANO,v. Liberazione,,,,,PTUA2003
0151950015,1523855.0,5025495.0,93.5,SAN GIULIANO,v.Tolstoy,,,,,PTUA2003
0980480003,1541478.0,5013387.0,70.16,SAN MARTINO IN STRADA,via F.Aporti-serb.,,,,,PTUA2003
0980490001,1554770.0,4992220.0,43.59,SAN ROCCO AL PORTO,via Acquedotto,LO,24.0,X,1,PTUA2003
0152040003,1497800.0,5037160.0,138.03,SEDRIANO,via Fagnani,MI,16.0,,,PTUA2003
0152050140,1523055.0,5035090.0,111.0,SEGRATE,Idroscalo,MI - Città,17.0,X,2,PTUA2003
0152050007,1521059.0,5038729.0,121.76,SEGRATE,Milano 2,,,,,PTUA2003
0152060004,1510324.0,5047248.0,169.78,SENAGO,v. Adda,MI - Par.,12.0,X,2,PTUA2003
0980530003,1546645.0,4999934.0,47.89,SENNA,LODIGIANA via Acquedotto,,,,,PTUA2003
0152090017,1517310.0,5042250.0,116.29,SESTO SAN GIOVANNI,via Baracca,,,,,PTUA2003
0152090021,1519104.0,5042802.0,117.19,SESTO SAN GIOVANNI,via Italia,,,,,PTUA2003
0152090016,1520400.0,5044400.0,121.98,SESTO SAN GIOVANNI,via Tevere,MI - MONZA,13.0,,,PTUA2003
0152090014,1517917.0,5041639.0,114.37,SESTO SAN GIOVANNI,via Marelli,,,,,PTUA2003
