CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
0152040003,SEDRIANO,1497800.0,5037160.0,138.03,via Fagnani,MI,,,16.0
0152050007,SEGRATE,1521059.0,5038729.0,121.76,Milano 2,,,,
0152050140,SEGRATE,1523055.0,5035090.0,111.0,Idroscalo,MI - Città,X,2,17.0
0152060004,SENAGO,1510324.0,5047248.0,169.78,v. Adda,MI - Par.,X,2,12.0
0152090014,SESTO SAN GIOVANNI,1517917.0,5041639.0,114.37,via Marelli,,,,
0152090016,SESTO SAN GIOVANNI,1520400.0,5044400.0,121.98,via Tevere,MI - MONZA,,,13.0
0152090017,SESTO SAN GIOVANNI,1517310.0,5042250.0,116.29,via Baracca,,,,
0152090021,SESTO SAN GIOVANNI,1519104.0,5042802.0,117.19,via Italia,,,,
0152100004,SETTALA,1530910.0,5030970.0,98.6,depuratore,MI - Città,X,1,17.0
0152110005,SETTIMO MILANESE,1505114.0,5036454.0,132.82,v.Fermi,MI - Par.,,2,16.0
0152130001,SOLARO,1505849.0,5051473.0,211.36,v. Drizza,,,,
0152130021,SOLARO,1506695.0,5051430.0,208.0,v. S.Paolo,MI - Par.,X,3,7.0
0152160005,SOVICO,1520190.0,5054875.0,174.26,Beta spa-via Volta,,,,
0152170007,SULBIATE,1533555.0,5053640.0,230.2,4 novembre,,,,
0152200001,TREZZANO SUL NAVIGLIO,1504740.0,5029600.0,113.21,via Edison,,,,
0152210001,TREZZO SULL'ADDA,1540543.0,5051091.0,141.68,via Visconti,MI - Par.,X,1,19.0
0152220001,TRIBIANO,1528826.0,5027968.0,94.78,Puccini,,,,
0152230007,TRIUGGIO,1521240.0,5055620.0,181.37,via Kennedy,,,,
0152300003,VAPRIO D'ADDA,1540700.0,5046980.0,129.08,via Pozzo-serb.,,,,
0152340016,VERANO BRIANZA,1518620.0,5059065.0,183.11,via Sabbionette,,,,
0152350001,VERMEZZO,1498622.0,5026499.0,113.52,via Dante,MI - Par.,X,2,19.0
0152360003,VERNATE,1506074.0,5019418.0,100.79,Pasturago,MI - Città,X,2,17.0
0152370002,VIGNATE,1529485.0,5038157.0,117.5,via Marconi  ,MI,,,18.0
0152410041,VIMERCATE,1528045.0,5053045.0,180.79,IBM pozzo E,MI - MONZA,,,9.0
0152420041,VIMODRONE,1521660.0,5039578.0,114.2,FEM v.La Torre,,,,
0152490002,VANZAGHELLO,1483170.0,5047350.0,164.42,via Roma II,,,,
0152490020,VANZAGHELLO,1482365.0,5046720.0,191.5,C.La Fogna piez,,,,
0154900021,CARNATE,1529290.0,5054175.0,215.226,Grandi nuovo  CAP,MI - MONZA,X,2,4.0
16,MARIANO COMENSE,1513175.0,5061640.0,289.0,Via per Novedrate  Pozzo 3   Pragma S.P.A,CO,,,3.0
16(23),LURAGO D'ERBA,1518210.0,5067545.0,320.0,Pioppete  Soc. Pragma Spa,CO,X,2,3.0
017(1bis),ROVELLO PORRO,1503100.0,5055090.0,235.0,via General Porro  Cons. Lura Ambiente   pozzo 3,CO,X,3,7.0
18,INVERIGO,1517738.0,5065790.0,322.0,C.na Rocchina  Comune,CO,,,3.0
018(2bis),CERMENATE,1506475.0,5061530.0,305.0,via Petrarca  Cons. Lura ambiente   pozzo 2,CO,X,2,2.0
0180140001,BEREGUARDO,1501810.0,5011415.0,94.3,via Negri,,,,
0180700001,GENZONE,1527575.0,5002880.0,72.5,via Cairoli,,,,
0180720001,GIUSSAGO,1511200.0,5014410.0,91.2,v.25 aprile-scuola,,,,
0180780001,LANDRIANO,1520470.0,5017665.0,85.5,p.za Marconi,,,,
0180930002,MONTANASO LOMBARDO,1535877.0,5019968.0,71.24,Comune,,,,
0181100101,PAVIA,1508425.0,5007685.0,85.3,C.na Montebello,,,,
0181140002,PIEVE PORTO MORONE,1534790.0,4995405.0,54.7,via Repubblica,,,,
0181390002,SANTA CRISTINA E BISSONE,1531095.0,5000710.0,70.0,via Milano,,,,
0181520001,SPESSA,1527070.0,4997630.0,68.5,via delle Betulle,,,,
0181690010,VALLE SALIMBENE,1517310.0,5000450.0,64.1,C.na Moncucca,,,,
0181800003,VILLANTERIO,1526970.0,5009965.0,77.0,fraz.Bolognola,,,,
019(3bis),NOVEDRATE,1511046.0,5060448.0,282.0,Villaggio Veneto - 1  Comune   pozzo 3,CO,X,3,3.0
2(3),TURATE,1501039.0,5054988.0,240.0,C.I.E. n.2  Comune   pozzo 6,CO,X,2,6.0
20-S2,OLGIATE COMASCO,1498015.0,5068805.0,398.0,via Repubblica  Comune,CO,,,2.0
28,BEREGUARDO,1502530.0,5011330.0,98.0,Via S. Antonino  4,PV,,,22.0
