CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
0152090397,S26,PIE,SUP,MARCEGAGLIA,Sesto San Giovanni,1516993.81,5041499.04,137.39,30,-999,-999
0152090398,PZS41a,PIE,SUP,MARCEGAGLIA,Sesto San Giovanni,1517000.63,5041615.93,137.48,30,-999,-999
0152090399,PZS41b,PIE,PROF,MARCEGAGLIA,Sesto San Giovanni,1516997.83,5041617.29,137.46,50,-999,-999
0152090400,PZ 1S,PIE,SUP/PROF,TANGENZIALE,Sesto San Giovanni,1520389.712,5043885.293,144.22,47,-999,-999
0152090401,PZ 2S,PIE,SUP,TANGENZIALE,Sesto San Giovanni,1520327.97,5043730.708,144.94,33,-999,-999
0152090402,PZ1,PIE,SUP,ALSTOM,Sesto San Giovanni,1518629.84,5040952.49,135.202,30,-999,-999
0152090403,PZ2,PIE,SUP,ALSTOM,Sesto San Giovanni,1518594.18,5040805.54,134.032,30,-999,-999
0152090404,PZ3,PIE,SUP,ALSTOM,Sesto San Giovanni,1518508.44,5040930.33,134.499,30,-999,-999
0152090405,PZ4,PIE,SUP,ALSTOM,Sesto San Giovanni,1518522.94,5040712.24,134.112,30,-999,-999
0152090406,PZ5,PIE,SUP,ALSTOM,Sesto San Giovanni,1518425.76,5040739.07,134.249,30,-999,-999
0152090407,PZ6,PIE,SUP,ALSTOM,Sesto San Giovanni,1518453.09,5040696.13,134.481,30,-999,-999
0152090408,PZ7,PIE,SUP/PROF,ALSTOM,Sesto San Giovanni,1518518.95,5040711.34,134.082,45,-999,-999
0152090409,PZ8,PIE,SUP/PROF,ALSTOM,Sesto San Giovanni,1518626.23,5040951.68,135.076,45,-999,-999
0152090415,PP5,PIE,PROF,BREDA,Sesto San Giovanni,1517340.84,5041378.91,137.102,60,-999,-999
0152090416,Pz5S,PIE,SUP,BREDA,Sesto San Giovanni,1517343.46,5041383.8,137.142,30,-999,-999
0152090417,PP8,PIE,PROF,BREDA,Sesto San Giovanni,1517494.75,5041303.97,136.973,60,-999,-999
0152090418,PS8,PIE,SUP,BREDA,Sesto San Giovanni,1517491.56,5041303.31,136.895,-999,-999,-999
0152090428,NPS1,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518486,5041527,136,30,-999,-999
0152090429,NPP1,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518481,5041525,135.98,66,-999,-999
0152090430,NPS2,PIE,SUP,ABB-Marelli,Sesto San Giovanni,1518384,5041449,136.3,30,-999,-999
0152090431,NPP2,PIE,PROF,ABB-Marelli,Sesto San Giovanni,1518378,5041446,136.6,66,-999,-999
0152090444,PZ3,PIE,SUP,TANGENZIALE,Sesto San Giovanni,1520415,5043786,144.99,30,-999,-999
0152090449,PZ 6,PIE,PROF,EDISON,Sesto San Giovanni,1519799.304,5043173.957,143.013,50,-999,-999
0152090450,PZ S6,PIE,SUP,EDISON,Sesto San Giovanni,1519802.842,5043171.531,143.016,30,-999,-999
0152090451,PZ 7,PIE,PROF,EDISON,Sesto San Giovanni,1519878.344,5043164.434,143.052,50,-999,-999
0152090452,PZ S7,PIE,SUP,EDISON,Sesto San Giovanni,1519882.366,5043164.136,142.971,30,-999,-999
0152090476,PS2,PIE,SUP,UNIONE,Sesto San Giovanni,1519080.41,5043045.73,143.57,40,20,40
0152090478,PS3,PIE,SUP,UNIONE,Sesto San Giovanni,1519232.67,5043076.01,143.55,40,20,40
0152090479,PS1,PIE,SUP,UNIONE,Sesto San Giovanni,1518923.74,5043049.45,143.81,40,20,40
0152090481,PS4,PIE,SUP,UNIONE,Sesto San Giovanni,1519434.63,5043436.01,144.47,40,20,40
0152090482,PS5,PIE,SUP,UNIONE,Sesto San Giovanni,1519592.7,5043537.92,144.22,40,20,40
0152090483,PzV-P1,PIE,SUP,VITTORIA_B,Sesto San Giovanni,1519193.11,5042341.91,140.22,30,20,30
0152090484,PzV-P3,PIE,SUP,ESTERNO,Sesto San Giovanni,1518803.44,5042649.62,142.32,30,20,30
0152090485,PzV-P2,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519494.19,5042958.62,142.19,30,20,30
0152090486,PzP3,PIE,SUP,UNIONE,Sesto San Giovanni,1519273.3,5042872.96,142.42,40,20,40
0152090487,PzP1,PIE,SUP,UNIONE,Sesto San Giovanni,1518870.33,5042941.25,143.04,43,19,43
0152090488,PzP2,PIE,SUP,UNIONE,Sesto San Giovanni,1519078.1,5042865.46,142.93,40,20,40
0152090489,PzP5,PIE,SUP,UNIONE,Sesto San Giovanni,1519594.86,5043236.06,143.76,40,12,40
0152090490,PzP4,PIE,SUP,UNIONE,Sesto San Giovanni,1519453.37,5043044.25,143.03,40,20,40
0152090492,CM.PP.004,PIE,PROF,CAVA_MELZI,Sesto San Giovanni,1520315.36,5043254.91,142.04,70,43,70
0152090493,CM.PS.004,PIE,SUP,CAVA_MELZI,Sesto San Giovanni,1520319.38,5043253.64,142.09,30,18,30
0152090494,CM.PP.005,PIE,PROF,CAVA_MELZI,Sesto San Giovanni,1520417.82,5043239.73,141.96,70,43,70
0152090495,CM.PS.005,PIE,SUP,CAVA_MELZI,Sesto San Giovanni,1520421.07,5043239.21,141.83,30,18,30
0152090496,CM.PP.006,PIE,PROF,CAVA_MELZI,Sesto San Giovanni,1520344.77,5042898.03,141.76,70,43,70
0152090497,CM.PS.006,PIE,SUP,CAVA_MELZI,Sesto San Giovanni,1520340.89,5042900.15,141.74,30,18,30
U_P1,P1,POZ,SUP,UNIONE,Sesto San Giovanni,1518868.56,5042942.4,143.2,40,16,36
U_P2,P2,POZ,SUP,UNIONE,Sesto San Giovanni,1519078.87,5042867.18,142.99,40,16,36
U_P3,P3,POZ,SUP,UNIONE,Sesto San Giovanni,1519275.47,5042871.84,142.41,40,16,36
