gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
148,PO0130230U0003,32,2015-07-01,,no,,,363.634,,372.084,non noto,PTUA2022,
149,PO0130230U0003,32,2015-08-01,,no,,,362.964,,372.084,non noto,PTUA2022,
150,PO0130230U0003,32,2015-09-01,,no,,,362.634,,372.084,non noto,PTUA2022,
151,PO0130230U0003,32,2015-10-01,,no,,,362.674,,372.084,non noto,PTUA2022,
152,PO0130230U0003,32,2015-11-01,,no,,,363.384,,372.084,non noto,PTUA2022,
153,PO0130230U0003,32,2015-12-01,,no,,,362.804,,372.084,non noto,PTUA2022,
154,PO0130230U0003,32,2016-01-01,,no,,,362.504,,372.084,non noto,PTUA2022,
155,PO0130230U0003,32,2016-02-01,,no,,,362.314,,372.084,non noto,PTUA2022,
156,PO0130230U0003,32,2016-03-01,,no,,,362.484,,372.084,non noto,PTUA2022,
157,PO0130230U0003,32,2016-04-01,,no,,,363.084,,372.084,non noto,PTUA2022,
158,PO0130230U0003,32,2016-05-01,,no,,,362.624,,372.084,non noto,PTUA2022,
159,PO0130230U0003,32,2016-06-01,,no,,,363.534,,372.084,non noto,PTUA2022,
160,PO0130230U0003,32,2016-07-01,,no,,,363.474,,372.084,non noto,PTUA2022,
161,PO0130230U0003,32,2016-08-01,,no,,,363.364,,372.084,non noto,PTUA2022,
162,PO0130230U0003,32,2016-09-01,,no,,,363.014,,372.084,non noto,PTUA2022,
163,PO0130230U0003,32,2016-10-01,,no,,,362.854,,372.084,non noto,PTUA2022,
164,PO0130230U0003,32,2016-11-01,,no,,,363.004,,372.084,non noto,PTUA2022,
165,PO0130230U0003,32,2016-12-01,,no,,,363.004,,372.084,non noto,PTUA2022,
166,PO0130230U0003,32,2017-01-01,,no,,,363.284,,372.084,non noto,PTUA2022,
167,PO0130230U0003,32,2017-02-01,,no,,,362.854,,372.084,non noto,PTUA2022,
168,PO0130230U0003,32,2017-03-01,,no,,,362.734,,372.084,non noto,PTUA2022,
169,PO0130230U0003,32,2017-04-01,,no,,,362.654,,372.084,non noto,PTUA2022,
170,PO0130230U0003,32,2017-05-01,,no,,,362.654,,372.084,non noto,PTUA2022,
171,PO0130230U0003,32,2017-06-01,,no,,,362.614,,372.084,non noto,PTUA2022,
172,PO0130230U0003,32,2017-07-01,,no,,,363.004,,372.084,non noto,PTUA2022,
173,PO0130230U0003,32,2017-08-01,,no,,,362.754,,372.084,non noto,PTUA2022,
174,PO0130230U0003,32,2017-09-01,,no,,,362.554,,372.084,non noto,PTUA2022,
175,PO0130230U0003,32,2017-10-01,,no,,,362.454,,372.084,non noto,PTUA2022,
176,PO0130230U0003,32,2017-11-01,,no,,,362.174,,372.084,non noto,PTUA2022,
177,PO0130230U0003,32,2017-12-01,,no,,,362.004,,372.084,non noto,PTUA2022,
178,PO0130230U0003,32,2018-01-01,,no,,,362.174,,372.084,non noto,PTUA2022,
179,PO0130230U0003,32,2018-02-01,,no,,,362.504,,372.084,non noto,PTUA2022,
180,PO0130230U0003,32,2018-03-01,,no,,,362.224,,372.084,non noto,PTUA2022,
181,PO0130230U0003,32,2018-04-01,,no,,,362.924,,372.084,non noto,PTUA2022,
182,PO0130230U0003,32,2018-05-01,,no,,,363.434,,372.084,non noto,PTUA2022,
183,PO0130230U0003,32,2018-06-01,,no,,,363.294,,372.084,non noto,PTUA2022,
184,PO0130230U0003,32,2018-07-01,,no,,,363.164,,372.084,non noto,PTUA2022,
185,PO0130230U0003,32,2018-08-01,,no,,,362.774,,372.084,non noto,PTUA2022,
186,PO0130230U0003,32,2018-09-01,,no,,,362.574,,372.084,non noto,PTUA2022,
187,PO0130230U0003,32,2018-10-01,,no,,,363.074,,372.084,non noto,PTUA2022,
188,PO0130230U0003,32,2018-11-01,,no,,,362.344,,372.084,non noto,PTUA2022,
189,PO0130230U0003,32,2018-12-01,,no,,,362.854,,372.084,non noto,PTUA2022,
190,PO0130230U0003,32,2019-01-01,,no,,,362.434,,372.084,non noto,PTUA2022,
191,PO0130230U0003,32,2019-02-01,,no,,,362.044,,372.084,non noto,PTUA2022,
192,PO0130230U0003,32,2019-03-01,,no,,,361.794,,372.084,non noto,PTUA2022,
193,PO0130230U0003,32,2019-04-01,,no,,,361.574,,372.084,non noto,PTUA2022,
194,PO0130230U0003,32,2019-05-01,,no,,,361.764,,372.084,non noto,PTUA2022,
195,PO0130230U0003,32,2019-06-01,,no,,,361.854,,372.084,non noto,PTUA2022,
196,PO0130230U0003,32,2019-07-01,,no,,,361.554,,372.084,non noto,PTUA2022,
197,PO0130230U0003,32,2019-08-01,,no,,,361.334,,372.084,non noto,PTUA2022,
198,PO0130230U0003,32,2019-09-01,,no,,,361.324,,372.084,non noto,PTUA2022,
199,PO0130230U0003,32,2019-10-01,,no,,,361.124,,372.084,non noto,PTUA2022,
200,PO0130230U0003,32,2019-11-01,,no,,,361.404,,372.084,non noto,PTUA2022,
201,PO0130230U0003,32,2019-12-01,,no,,,363.684,,372.084,non noto,PTUA2022,
202,PO0130230U0003,32,2020-01-01,,no,,,364.284,,372.084,non noto,PTUA2022,
203,PO0130230U0003,32,2020-02-01,,no,,,363.464,,372.084,non noto,PTUA2022,
204,PO0130230U0003,32,2020-03-01,,no,,,362.914,,372.084,non noto,PTUA2022,
205,PO0130230U0003,32,2020-04-01,,no,,,362.544,,372.084,non noto,PTUA2022,
206,PO0130230U0003,32,2020-05-01,,no,,,362.284,,372.084,non noto,PTUA2022,
207,PO0130230U0003,32,2020-06-01,,no,,,363.204,,372.084,non noto,PTUA2022,
208,PO0130230U0003,32,2020-07-01,,no,,,363.094,,372.084,non noto,PTUA2022,
209,PO0130230U0003,32,2020-08-01,,no,,,362.814,,372.084,non noto,PTUA2022,
210,PO0130230U0003,32,2020-09-01,,no,,,362.804,,372.084,non noto,PTUA2022,
211,PO0130230U0003,32,2020-10-01,,no,,,362.654,,372.084,non noto,PTUA2022,
212,PO0130230U0003,32,2020-11-01,,no,,,363.064,,372.084,non noto,PTUA2022,
213,PO0130230U0003,32,2020-12-01,,no,,,362.904,,372.084,non noto,PTUA2022,
214,PO012002NU0008,33,2001-05-01,,no,,,307.9,,313.8,non noto,PTUA2022-PTUA2003,
215,PO012002NU0008,33,2001-06-01,,no,,,305.9,,313.8,non noto,PTUA2022-PTUA2003,
216,PO012002NU0008,33,2001-07-01,,no,,,302.9,,313.8,non noto,PTUA2022-PTUA2003,
217,PO012002NU0008,33,2001-08-01,,no,,,302.4,,313.8,non noto,PTUA2022-PTUA2003,
218,PO012002NU0008,33,2001-09-01,,no,,,302.75,,313.8,non noto,PTUA2022-PTUA2003,
219,PO012002NU0008,33,2001-10-01,,no,,,302.56,,313.8,non noto,PTUA2022-PTUA2003,
220,PO012002NU0008,33,2001-11-01,,no,,,302.15,,313.8,non noto,PTUA2022-PTUA2003,
221,PO012002NU0008,33,2001-12-01,,no,,,301.44,,313.8,non noto,PTUA2022-PTUA2003,
222,PO012002NU0008,33,2002-01-01,,no,,,298.98,,313.8,non noto,PTUA2022-PTUA2003,
223,PO012002NU0008,33,2002-02-01,,no,,,297.94,,313.8,non noto,PTUA2022-PTUA2003,
224,PO012002NU0008,33,2002-03-01,,no,,,298.42,,313.8,non noto,PTUA2022-PTUA2003,
