DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO0131590U0001,PO015041NR0075,PO015051NR0012,PO015062NR0071,PO015113NUP001,PO015146NU1534,PO015194NU0017,PO0970200U0002,PO0970200U0003,PO0970480U0001,PO0970610U0015,PO108033NR0142,PO108033NU0243
2007-08-01,,-1.4121875789061642,-1.8339146358159146,-1.88950996033343,-1.4395314709384563,-1.8339146358159146,-1.4395314709384563,-1.9599639845400545,,,-1.8339146358159146,-1.8627318674216515,-1.4121875789061642,-1.4121875789061642,-0.7164975001779913,,-1.2418667918433202,,,,,,-1.9379315108528288,,-1.2815515655446004,-1.4395314709384563,-0.7554150263604693,-1.2815515655446004,,
2007-09-01,,-1.4121875789061642,-1.8339146358159146,-1.88950996033343,-1.4395314709384563,-1.8339146358159146,-1.9599639845400545,-1.9599639845400545,,,-1.8339146358159146,-1.8627318674216515,-1.1503493803760079,-1.4395314709384563,-1.4395314709384563,,-1.2418667918433202,,,,,,-1.9379315108528288,,-0.967421566101701,-1.1503493803760079,-0.45376219016987945,-0.967421566101701,,
2007-10-01,,-1.4121875789061642,-1.8339146358159146,-1.88950996033343,-1.4395314709384563,-1.8339146358159146,-1.9599639845400545,-1.9599639845400545,,,-1.8339146358159146,-1.8627318674216515,-1.4395314709384563,-0.9345892910734802,-1.4395314709384563,,-1.2418667918433202,,,,,,-1.9379315108528288,,-0.967421566101701,-1.1503493803760079,-0.5977601260424786,-0.967421566101701,,
2007-11-01,,-1.4121875789061642,-1.8339146358159146,-1.88950996033343,-1.9599639845400545,-1.8339146358159146,-1.4395314709384563,-1.9599639845400545,,,-1.8627318674216515,-1.8627318674216515,-1.4395314709384563,-1.4395314709384563,-1.9599639845400545,,-1.2418667918433202,,,,,,-1.9379315108528288,,-0.7279132908816442,-0.7554150263604693,-0.9345892910734802,-0.967421566101701,,
2007-12-01,,-1.9379315108528288,-1.8627318674216515,-1.88950996033343,-1.9599639845400545,-1.8627318674216515,-1.9599639845400545,-1.9599639845400545,,,-1.8627318674216515,-1.8627318674216515,-1.4395314709384563,-1.1503493803760079,-1.4395314709384563,,-1.8027430907391904,,,,,,-1.9379315108528288,,-0.7279132908816442,-0.7554150263604693,-1.4395314709384563,-0.967421566101701,,
2008-01-01,,-1.9599639845400545,-1.8627318674216515,-1.9145058250555573,-1.9807523966472789,-1.8627318674216515,-1.9599639845400545,-1.9599639845400545,,,-1.8627318674216515,-1.318010897303537,-1.4395314709384563,-1.1503493803760079,-1.4395314709384563,,-1.8027430907391904,,,,,,-1.9599639845400545,,-0.7279132908816442,-0.45376219016987945,-0.9345892910734802,-1.009990169249582,,
2008-02-01,,-1.9599639845400545,-1.8627318674216515,-1.9145058250555573,-1.9807523966472789,-1.8627318674216515,-1.9807523966472789,-1.9599639845400545,,,-1.8627318674216515,-1.318010897303537,-0.7554150263604693,-1.1503493803760079,-1.1503493803760079,,-1.8027430907391904,,,,,,-1.9599639845400545,,-0.579132162255556,-0.5977601260424786,0.18911842627279238,-0.40225006532172536,,
2008-03-01,,-1.9599639845400545,-1.8627318674216515,-1.9145058250555573,-1.9807523966472789,-1.8627318674216515,-1.9807523966472789,-1.9599639845400545,,,-1.8627318674216515,-1.009990169249582,-0.9345892910734802,-1.9599639845400545,-1.4395314709384563,,-1.8339146358159146,,,,,,-1.9599639845400545,,-0.40225006532172536,-0.5977601260424786,-0.06270677794321385,-0.40225006532172536,,
2008-04-01,,-1.9599639845400545,-1.8627318674216515,-1.382994127100638,-1.9807523966472789,-1.8627318674216515,-0.6374841609623771,-1.9599639845400545,,,-1.8627318674216515,-1.009990169249582,-0.7554150263604693,-1.9599639845400545,-1.4395314709384563,,-1.8339146358159146,,,,,,-1.9599639845400545,,-0.7764217611479277,-0.9345892910734802,0.06270677794321357,-0.579132162255556,,
2008-05-01,,-1.9379315108528288,-1.8339146358159146,-1.88950996033343,-1.9599639845400545,-1.8339146358159146,-0.7554150263604693,-1.9379315108528288,,,-1.8339146358159146,-0.5244005127080409,-0.5549229427026537,-1.4121875789061642,-1.11895838106256,,-1.8027430907391904,,,,,,-1.4121875789061642,,-0.967421566101701,-0.7164975001779913,0.4067242518713638,-0.5244005127080409,,
2008-06-01,,-1.9379315108528288,-1.8339146358159146,-1.88950996033343,-1.9599639845400545,-1.8339146358159146,-0.7554150263604693,-1.9379315108528288,,,-1.8339146358159146,-0.7279132908816442,-0.13231285227617104,-0.899434907667234,-0.26699412540495254,,-1.8027430907391904,,,,,,-1.4121875789061642,,0.16789400478810546,-0.5549229427026537,0.7164975001779914,-0.5244005127080409,,
2008-07-01,,-1.9379315108528288,-1.2815515655446004,-1.88950996033343,-1.9599639845400545,-1.8339146358159146,-0.9345892910734802,-1.9379315108528288,,,-1.8339146358159146,-0.5244005127080409,-0.899434907667234,-0.7164975001779913,-0.899434907667234,,-1.8027430907391904,,,,,,-1.4121875789061642,,0.5244005127080407,0.5549229427026537,0.7164975001779914,0.0,,
2008-08-01,,-1.9379315108528288,-1.2815515655446004,-1.0491313979639707,-1.9599639845400545,-1.2815515655446004,-0.45376219016987945,-1.4395314709384563,,,-1.2815515655446004,-0.40225006532172536,-1.11895838106256,-0.4067242518713635,-0.899434907667234,,-1.8027430907391904,,,,,,-1.4121875789061642,,1.2815515655446004,0.4537621901698793,0.93458929107348,0.7279132908816441,,
2008-09-01,,-1.9379315108528288,-1.2815515655446004,-1.0491313979639707,-1.9599639845400545,-1.2815515655446004,-0.45376219016987945,-1.4395314709384563,,,-1.2815515655446004,-0.23720210932878769,-1.9599639845400545,-0.7554150263604693,-0.7554150263604693,,-1.8027430907391904,,,,,,-1.4121875789061642,,0.5244005127080407,0.31863936396437514,0.4537621901698793,0.3406948270877954,,
