CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
0152130027,PO015213NRA131,MI,SOLARO,POZZO N░27 - OASI VERDE - VIA BORROMEO (PRIVATO),,PIEZOMETRO,1504191,5052031,,,,43,ND,ND,,,210.84,176.93526,106.60323,129.81679,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152130041,PO015213NRA140,MI,SOLARO,"Ex MC Bride Spa - Via Bernini, 17 - MW1",,PIEZOMETRO,1507081,5050337,,,,47,ND,ND,,,203.09,181.40846,104.98135,120.94334,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152130045,PO015213NRA127,MI,SOLARO,Ex McBride Via Bernini 17 MW5,,PIEZOMETRO,1507014,5050451,,,,50,ND,ND,,,204.48,183.78687,104.35658,120.86508,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152130046,PO015213NRA126,MI,SOLARO,Ex McBride Via Bernini 17 MW6,,PIEZOMETRO,1507100,5050246,,,,50,ND,ND,,,202.31,179.30147,105.55705,120.94334,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152130052,PO015213NRA132,MI,SOLARO,Ex Cromosystem - PZ3,,PIEZOMETRO,1504239,5051987,,,,40,ND,ND,,,210.61,176.94635,106.54732,129.00279,ND,TRANSIZIONE,A+B,ISS,,,,progPLUMES
0152130057,PO015213NRA142,MI,SOLARO,Area Mc Bride Spa - Via Bernini 17 - PW1,,PIEZOMETRO,1507031,5050318,,,,50,35,50.00,,,203.22,181.02739,105.1746,120.94334,ND,TRANSIZIONE,B,ISS,,,,progPLUMES
0152090017,209017,MI,SESTO SAN GIOVANNI,Baracca/Bixio c/o Piscina,,POZZO,1517290,5042290,140.09,,,77.6,36,77.00,,,146.32,110.83761,50.96153,98.21782,54.97456,TRANSIZIONE,B,ISS+ISI,,,,progPLUMES
0152090018,209018,MI,SESTO SAN GIOVANNI,Via Podgora,,POZZO,1517837,5043297,144.51,,,75.4,42.3,75.40,,,144.51,107.0783,54.53205,98.87109,59.53303,INDISTINTA,B,ISI,,,,progPLUMES
0152090019,209019,MI,SESTO SAN GIOVANNI,Viale Casiraghi,,POZZO,1518526,5043916,147.48,,,76.4,44.08,76.40,,,147.42,115.48438,57.95724,99.18556,61.51323,INDISTINTA,B,ISI,,,,progPLUMES
0152090020,209020,MI,SESTO SAN GIOVANNI,Via Pirandello,,POZZO,1518656,5043801,146.62,,,92.86,40.08,92.86,,,146.78,116.71099,56.29285,98.93928,61.1798,INDISTINTA,B,ISS+ISI+ISP,,,,progPLUMES
0152090021,209021,MI,SESTO SAN GIOVANNI,Via Mazzini,,POZZO,1519200,5042715,142.54,,,98.8,34.1,98.80,,,141.72,112.52071,44.9307,96.054,55.29559,INDISTINTA,B,ISS+ISI+ISP,,,,progPLUMES
0152090022,209022,MI,SESTO SAN GIOVANNI,Viale Casiraghi/Corridoni,,POZZO,1518223,5042921,142.62,,,106.27,64,106.27,,,142.28,106.29178,50.27011,97.65393,56.98466,INDISTINTA,B+C,ISI+ISP,,,,progPLUMES
0152090023,209023,MI,SESTO SAN GIOVANNI,Via Marx / Gescal 1,,POZZO,1519435,5041112,133.59,,,120.4,61.12,120.40,,,134.65,105.2352,40.65273,91.78739,44.57583,INDISTINTA,B+C,ISI+ISP,,,,progPLUMES
0152090024,209024,MI,SESTO SAN GIOVANNI,Via Marx / Gescal 2,,POZZO,1519354,5041004,132.75,,,123,65,123.00,,,134.11,104.43266,40.64919,92.10722,44.4135,TRANSIZIONE,B+C,ISI+ISP,,,,progPLUMES
0152090025,209025,MI,SESTO SAN GIOVANNI,Via Garibaldi / Villa Zoorn,,POZZO,1518448,5042466,140.71,,,125,67,125.00,,,139.8,107.20536,46.82787,96.63547,54.63455,TRANSIZIONE,B+C,ISI+ISP,,,,progPLUMES
0152200073,PO015220NR0073,MI,TREZZANO SUL NAVIGLIO,CAVE MERLINI DI GAGGIANO Pz 1 - LOC.CAVA BOSCACCIO-C.NA BOSCACCIO // PZ 1,,PIEZOMETRO,1504970,5028490,,,,ND,ND,ND,,,111.88,75.73089,-10.05056,68.64756,-9.41864,SEPARATA,A,DUBBIO,,,,progPLUMES
0152200074,PO015220NR0074,MI,TREZZANO SUL NAVIGLIO,CAVE MERLINI DI GAGGIANO Pz 3 - LOC.CAVA BOSCACCIO-C.NA MULINO,,PIEZOMETRO,1505160,5028590,,,,42,ND,ND,,,113.18,73.20406,-9.90926,68.55213,-9.47474,SEPARATA,A,ISS,,,,progPLUMES
0152200080,PO015220NRA245,MI,TREZZANO SUL NAVIGLIO,BRENNTAG SPA - PZ6,,PIEZOMETRO,1504434,5029380,,,,8,ND,ND,,,115.64,79.16798,-3.94129,69.79606,-4.89834,SEPARATA,A,ISS,,,,progPLUMES
0152200082,PO015220NRA252,MI,TREZZANO SUL NAVIGLIO,Brenntag Spa,,PIEZOMETRO,1504389,5029361,,,,20,ND,ND,,,115.87,79.70266,-3.955,69.99037,-4.72448,SEPARATA,A,ISS,,,,progPLUMES
0152200085,PO015220NRA251,MI,TREZZANO SUL NAVIGLIO,BRENNTAG SPA - PZW 11,,PIEZOMETRO,1504577,5029238,,,,20,ND,ND,,,115.16,78.74097,-4.73093,69.79606,-4.89834,SEPARATA,A,ISS,,,,progPLUMES
0152090026,209026,MI,SESTO SAN GIOVANNI,Via Curiel,,POZZO,1518530,5042122,138.87,,,124.13,64,124.13,,,138.93,105.61489,45.08866,95.88331,52.22392,TRANSIZIONE,B+C,ISI+ISP,,,,progPLUMES
0152200089,PO015220NRA244,MI,TREZZANO SUL NAVIGLIO,a,,PIEZOMETRO,1504602,5029292,,,,9,ND,ND,,,115.43,78.44076,-4.51152,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152200093,PO0152200R0093,MI,TREZZANO SUL NAVIGLIO,a,,PIEZOMETRO,1504689,5029338,,,,10,ND,ND,,,115.77,77.98428,-4.45022,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152200100,PO015220NR0100,MI,TREZZANO SUL NAVIGLIO,a,,PIEZOMETRO,1504614,5029373,,,,10,ND,ND,,,115.49,78.30429,-4.60844,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152090027,209027,MI,SESTO SAN GIOVANNI,Via Baracca,,POZZO,1517306,5042269,139.87,,,92.02,49.5,92.02,,,145.43,110.61544,50.71441,98.21782,54.97456,TRANSIZIONE,B,ISI,,,,progPLUMES
0152200107,PO015220NR0107,MI,TREZZANO SUL NAVIGLIO,Brenntag Spa,,PIEZOMETRO,1504535,5029107,,,,18,ND,ND,,,114.64,79.53079,-5.3095,69.59008,-5.96354,SEPARATA,A,ISS,,,,progPLUMES
0152200108,PO015220NR0108,MI,TREZZANO SUL NAVIGLIO,Brenntag Spa,,PIEZOMETRO,1504633,5029148,,,,18,ND,ND,,,115.46,78.79379,-5.4795,69.44255,-6.10513,SEPARATA,A,ISS,,,,progPLUMES
