CODICE,PROVINCIA,COMUNE,DATA_INIZIO,X_WGS84,Y_WGS84,QUOTA_MISU,QUOTA_PC_S,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOT,USO,TIPO,BACINO_GWB_2015,BACINO_WISE,SONDA_AUTO,NOTE
PO0200420R0001,MN,POGGIO RUSCO,01/01/2006,668975,4982250,10.859,10.859,6,n.d.,n.d.,n.d.,IRRIGUO,POZZO,GWB ISS BPPO,IT03GWBISSBPPO,,
PO0161220R0519,BG,ISSO,01/01/2006,556753,5036727,104.8,104.8,35,n.d.,n.d.,n.d.,ZOOTECNICO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019084NRA002,CR,RIVOLTA D'ADDA,01/11/2010,540419,5033590,96.18,95.96,10.5,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,
PO019094NU0944,CR,SERGNANO,01/01/2006,554722,5030569,91.1,90.54,46,1,37,42,POTABILE,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019035NRA001,CR,CREMA,01/01/2006,552645,5022933,77.81,77.81,10,1,1,10,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,SI,
PO098003NR0063,LO,BOFFALORA D'ADDA,01/03/2012,537578,5023179,72.433,72.403,9,1,3,9,PIEZOMETRO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019047NRA001,CR,GENIVOLTA,01/01/2006,568902,5021693,60.78,60.33,18,1,1,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO098025NR0110,LO,CRESPIATICA,01/05/2014,542967.5282,5021710.343,72.827,72.563,10,1,1,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019027NRA001,CR,CASTELVISCONTI,01/01/2006,574398,5015772,65.2,64.48,18,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019110NRA001,CR,TRIGOLO,01/01/2006,564922,5019504,70.82,70.16,23,1,2,18,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO098024NR0087,LO,CORTE PALASIO,01/05/2014,543946.5236,5018367.411,66.918,66.918,10,1,3,10,MONITORAGGIO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019065NRA001,CR,PADERNO PONCHIELLI,01/01/2006,574438,5010588,58.87,58.21,24,1,4,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019088NRP001,CR,SAN BASSANO,01/03/2015,563717.978,5010319.591,50.943,51.343,31,1,22,28,IRRIGUO,POZZO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019033NRA001,CR,CORTE DE' FRATI,01/01/2006,586564,5006546,48.01,47.83,15,1,1.5,15,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019051NRA001,CR,GRUMELLO CREMONESE ED UNITI,01/03/2012,568876,5004743,46.42,46.42,13,n.d.,n.d.,n.d.,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019070NRA001,CR,PESSINA CREMONESE,01/01/2006,599778,5003151,39.44,39.3,12,1,1,12,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019077NRA001,CR,POZZAGLIO ED UNITI,01/01/2006,579839,5008345,53.81,53.07,18,1,4,17,IRRIGUO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO019036NUA001,CR,CREMONA,01/01/2006,582978,4998541,42.99,43.3,20,1,2,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPAO,IT03GWBISSMPAO,,
PO0200530R0089,MN,ROVERBELLA,01/01/2006,641706,5013584,35.415,35.415,30,n.d.,n.d.,n.d.,ANTINCENDIO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,,
PO020004NR0001,MN,BIGARELLO,01/02/2010,649416,5004823,26.3,26.3,15,1,5,15,NON DEFINITO,PIEZOMETRO,GWB ISS MPBM,IT03GWBISSMPBM,SI,
PO0200330R0002,MN,MARMIROLO,01/01/2006,639065,5008516,31.883,31.883,38,n.d.,n.d.,n.d.,NON DEFINITO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,,
PO0200570U0002,MN,SAN GIORGIO DI MANTOVA,01/01/2005,645831,5002540,23.443,23.443,10.5,1,3,9,NON DEFINITO,POZZO,GWB ISS MPBM,IT03GWBISSMPBM,SI,
PO0980200U0003,LO,COMAZZO,01/03/2007,536223,5032262,99.238,98.783,41,1,29,41,POTABILE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,
PO0152100U0004,MI,SETTALA,01/01/2005,530914,5030976,97.739,97.739,43,4,14,39,INDUSTRIALE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,
PO0980180U0001,LO,CERVIGNANO D'ADDA,01/01/2006,533273,5024618,86.922,87.162,55,1,41.5,50.5,POTABILE,POZZO,GWB ISS MPLAN,IT03GWBISSMPLAN,,
PO098031NR0333,LO,LODI,01/03/2015,536089.1193,5018845.124,81.233,80.783,75,1,40,52,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
PO0980320U0002,LO,LODI VECCHIO,01/01/1999,532553,5016525,80.442,80.892,66.5,3,31,61,POTABILE,POZZO,GWB ISS MPLAS,IT03GWBISSMPLAS,,
