comune,Codice_catastale,zona_omogenea,id_punto,cod_pozzo,tipo_punto,id_pratica,seq_captazione,uso,istat_comune,foglio,mappale,lng,lat,quota_pc,quota_rif,portata,profondita,tetto_primo_filtro,letto_ultimo_filtro,Location
MILANO,F205,Milano,4276,151460275,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1518531.52,5037536.82,121.17,121.17,0,100,73.55,93.48,POINT (9.23680065 45.490936)
MILANO,F205,Magentino Abbiatense,20410,151462763,PIE,n/a,,Piezometro,15146,n/d,n/d,1516710,5033792,114.2,114.2,0,20,,,POINT (9.21336305 45.457275)
MILANO,F205,Magentino Abbiatense,17483,151462010,PIE,n/a,,Piezometro,15146,n/d,n/d,1511018,5037429,,,0,50,,,POINT (9.14064503 45.490124)
GUDO VISCONTI,E258,Magentino Abbiatense,3882,151120014,POZ,MI0124551995,1,Zootecnico [Prev],15112,5,48,1498659,5024021,,,6,40,36,40,POINT (8.98252209 45.369522)
RHO,H264,Magentino Abbiatense,20096,151820763,PIE,n/a,,Piezometro,15182,n/d,n/d,1503882,5039496,146,,0,10,,,POINT (9.04934023 45.508805)
MILANO,F205,Magentino Abbiatense,23743,151463530,PIE,n/a,,Piezometro,15146,n/d,n/d,1516097,5032048,111.11,111.11,0,15,,,POINT (9.20546605 45.441591)
CESANO BOSCONE,C565,Sud Ovest,28108,MI03MI01507400045,POZ,MI03260942015,1,Aree verdi/aree sportive,15074,2,274,1506685,5033096,,,0.05,30,21,30,POINT (9.08513622 45.451177)
MILANO,F205,Milano,30076,MI03MI01514601555,POZ,MI03303412017,1,"Igienico, Aree verdi/aree sportive, Pompa di calore",15146,543,151,1511552,5031974,,,0.6,32,12,30,POINT (9.14735104 45.441015)
MILANO,F205,Magentino Abbiatense,19268,151462493,PIE,n/a,,Piezometro,15146,n/d,n/d,,,107,,0,20,,,POINT (0 0)
CARUGATE,B850,Adda Martesana,30941,150510052,PIE,n/a,,Piezometro,15051,n/d,n/d,1525897.22,5043920.18,149.92,149.72,0,25,,,POINT (9.33139796 45.548157)
MILANO,F205,Milano,25251,151464123,POZ,MI03191622012,8,Pompa di calore,15146,266,168,1514913,5036668,124,124,6.25,40,29,39,POINT (9.19046694 45.483202)
SEGRATE,I577,Adda Martesana,30627,152050394,PIE,CO04254R,0,Piezometro,15205,n/d,n/d,1521202,5036818,,,0,,,,POINT (9.27094454 45.48439)
CORSICO,D045,Magentino Abbiatense,19440,150930129,PIE,n/a,,Piezometro,15093,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Milano,4574,151460089,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1506969.74,5033681.45,122.75,122.75,0,102,39.88,99.87,POINT (9.08878583 45.456444)
ALBAIRATE,A127,Magentino Abbiatense,30238,150050183,PIE,n/a,,Piezometro,15005,n/d,n/d,1497113.84,5029497.58,120,120.64,0,10,,,POINT (8.96275774 45.418813)
MILANO,F205,Milano,30005,MI03MI01514601537,POZ,MI03191622012,15,Pompa di calore,15146,266,188,1514867,5036676,,,0,34,24,33,POINT (9.18987859 45.483275)
BUCCINASCO,B240,Magentino Abbiatense,21861,150360252,PIE,n/a,,Piezometro,15036,n/d,n/d,1509337,5029145,200,200,0,8,3,7,POINT (9.1189765 45.415584)
NOVIGLIO,F968,Magentino Abbiatense,24578,151580099,POZ,MI03171072010,1,Aree verdi/aree sportive [Prev],15158,15,599,1506512,5020745,101,,1,29,6,29,POINT (9.08276205 45.340006)
SETTALA,I696,Magentino Abbiatense,20018,152100259,PIE,n/a,,Piezometro,15210,n/d,n/d,1530759,5030571,,,0,15,,,POINT (9.3928425 45.427807)
MILANO,F205,Magentino Abbiatense,23849,151463575,PIE,n/a,,Piezometro,15146,n/d,n/d,1515818.79,5029847.02,0,108.89,0,15,,,POINT (9.2018383 45.421787)
PAULLO,G385,Magentino Abbiatense,9925,151690049,POZ,MI0129441995,1,Irriguo [Prev],15169,12,19,1531965,5031230,99,99,1,,10,12,POINT (9.40830131 45.433684)
LISCATE,E610,Magentino Abbiatense,16415,151220094,POZ,MI016271995,1,"Igienico, Potabile [Prev], Zootecnico",15122,9,20,1532965,5033813,103,103,1,,7,9,POINT (9.4212583 45.456887)
INVERUNO,E313,Magentino Abbiatense,24568,151130057,PIE,n/a,,Piezometro,15113,n/d,n/d,1488277.9,5040333.34,160,160,0,24,,,POINT (8.8495651 45.516252)
RHO,H264,Magentino Abbiatense,20094,151820761,PIE,n/a,,Piezometro,15182,n/d,n/d,1503830,5039570,145,,0,8,,,POINT (9.04867512 45.509471)
MAGENTA,E801,Magentino Abbiatense,29640,MI03MI01513000071,POZ,MI03288692016,1,"Aree verdi/aree sportive, Pompa di calore",15130,19,474,1490486,5033901,,,4.97,30,12,30,POINT (8.87796108 45.458389)
CERRO MAGGIORE,C537,Magentino Abbiatense,21583,150720059,PIE,n/a,,Piezometro,15072,n/d,n/d,1498758,5047909,193.5,193.5,0,133,,,POINT (8.98372326 45.584538)
LACCHIARELLA,E395,Sud Ovest,28999,151150274,PIE,n/a,,Piezometro,15115,n/d,n/d,1512503.5,5020132.2,94,94,0,6,,,POINT (9.1592181 45.334409)
MELZO,F119,Magentino Abbiatense,9378,151420102,PIE,n/a,,Piezometro,15142,n/d,n/d,1532888,5038993,,,0,12,,,POINT (9.42062002 45.503514)
MILANO,F205,Milano,25574,151464256,POZ,MI03302362012,5,Pompa di calore,15146,23,29,1515004,5041541,508,,0,39.85,16.85,37.85,POINT (9.19177995 45.527062)
LACCHIARELLA,E395,Magentino Abbiatense,19287,151150139,PIE,n/a,,Piezometro,15115,n/d,n/d,1512653,5019444,,,0,8,,,POINT (9.1611085 45.328212)
CORMANO,D013,Magentino Abbiatense,15887,150860044,PIE,n/a,,Piezometro,15086,n/d,n/d,1512502,5042360,146,146,0,,,,POINT (9.15976131 45.534482)
MILANO,F205,Magentino Abbiatense,23327,151463413,PIE,n/a,,Piezometro,15146,n/d,n/d,1512433,5029795,0,0,0,0,,,POINT (9.15856076 45.421387)
VIZZOLO PREDABISSI,M102,Magentino Abbiatense,10421,152440033,PIE,n/a,,Piezometro,15244,n/d,n/d,1526605,5021340,,,0,15,,,POINT (9.33924549 45.344889)
MILANO,F205,Milano,27967,MI03MI01514600954,POZ,MI03285072013,9,Pompa di calore,15146,552,9,1516009,5032282,111.5,,0,40,14,38,POINT (9.20434846 45.4437)
MELZO,F119,Adda Martesana,4132,151420039,POZ,MI017361995,1,Zootecnico [Prev],15142,10,43,1534511,5038281,113,113,2,,7,9,POINT (9.44134421 45.497028)
LISCATE,E610,Magentino Abbiatense,19362,151220145,POZ,MI0344972004,1,Aree verdi/aree sportive [Prev],15122,5,182,1532067,5036316,,,5,20,,,POINT (9.40993659 45.479458)
MILANO,F205,Magentino Abbiatense,23672,151463502,PIE,n/a,,Piezometro,15146,n/d,n/d,1512757.72,5039755.74,131.35,0,0,30,,,POINT (9.16296882 45.511037)
